Name,City,Country,IATA
Kaneohe Bay MCAS (Marion E. Carl Field) Airport,Kaneohe Bay,United States,NGF
Offutt Air Force Base,Omaha,United States,OFF
Gulkana Airport,Gulkana,United States,GKN
Watertown International Airport,Watertown,United States,ART
Palm Springs International Airport,Palm Springs,United States,PSP
Rick Husband Amarillo International Airport,Amarillo,United States,AMA
Fort Dodge Regional Airport,Fort Dodge,United States,FOD
Barksdale Air Force Base,Shreveport,United States,BAD
Topeka Regional Airport - Forbes Field,Topeka,United States,FOE
Cotulla-La Salle County Airport,Cotulla,United States,COT
Wilmington International Airport,Wilmington,United States,ILM
Baton Rouge Metropolitan Airport,Baton Rouge,United States,BTR
Meridian Naval Air Station,Meridian,United States,\N
Tyler Pounds Regional Airport,Tyler,United States,TYR
Baltimore/Washington International Thurgood Marshall Airport,Baltimore,United States,BWI
Hobart Regional Airport,Hobart,United States,HBR
Lanai Airport,Lanai,United States,LNY
Alexandria International Airport,Alexandria,United States,AEX
Condron Army Air Field,White Sands,United States,WSD
Cold Bay Airport,Cold Bay,United States,CDB
Tulsa International Airport,Tulsa,United States,TUL
Sitka Rocky Gutierrez Airport,Sitka,United States,SIT
Long Island Mac Arthur Airport,Islip,United States,ISP
Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,MSP
New Castle Airport,Wilmington,United States,ILG
Unalaska Airport,Unalaska,United States,DUT
Louis Armstrong New Orleans International Airport,New Orleans,United States,MSY
Portland International Jetport Airport,Portland,United States,PWM
Will Rogers World Airport,Oklahoma City,United States,OKC
Albany International Airport,Albany,United States,ALB
Valdez Pioneer Field,Valdez,United States,VDZ
Langley Air Force Base,Hampton,United States,LFI
John Wayne Airport-Orange County Airport,Santa Ana,United States,SNA
Columbus Air Force Base,Colombus,United States,CBM
Kendall-Tamiami Executive Airport,Kendall-tamiami,United States,TMB
Oceana Naval Air Station,Oceana,United States,NTU
Grissom Air Reserve Base,Peru,United States,GUS
Casper-Natrona County International Airport,Casper,United States,CPR
Destin-Ft Walton Beach Airport,Valparaiso,United States,VPS
Craig Field,Selma,United States,SEM
Key West International Airport,Key West,United States,EYW
Charlotte Douglas International Airport,Charlotte,United States,CLT
McCarran International Airport,Las Vegas,United States,LAS
Orlando International Airport,Orlando,United States,MCO
Florence Regional Airport,Florence,United States,FLO
Great Falls International Airport,Great Falls,United States,GTF
Youngstown Warren Regional Airport,Youngstown,United States,YNG
Ladd AAF Airfield,Fort Wainwright,United States,FBK
Mc Minnville Municipal Airport,Mackminnville,United States,\N
Robins Air Force Base,Macon,United States,WRB
Pullman Moscow Regional Airport,Pullman,United States,PUW
Lewiston Nez Perce County Airport,Lewiston,United States,LWS
Elmira Corning Regional Airport,Elmira,United States,ELM
Ithaca Tompkins Regional Airport,Ithaca,United States,ITH
Monterey Peninsula Airport,Monterey,United States,MRY
Santa Barbara Municipal Airport,Santa Barbara,United States,SBA
Daytona Beach International Airport,Daytona Beach,United States,DAB
Downtown-Manhattan/Wall St Heliport,New York,United States,JRB
Talkeetna Airport,Talkeetna,United States,TKA
Tweed New Haven Airport,New Haven,United States,HVN
Asheville Regional Airport,Asheville,United States,AVL
Piedmont Triad International Airport,Greensboro,United States,GSO
Joe Foss Field Airport,Sioux Falls,United States,FSD
Manchester-Boston Regional Airport,Manchester NH,United States,MHT
Naples Municipal Airport,Naples,United States,APF
Louisville International Standiford Field,Louisville,United States,SDF
Charlottesville Albemarle Airport,Charlottesville VA,United States,CHO
Roanoke–Blacksburg Regional Airport,Roanoke VA,United States,ROA
Blue Grass Airport,Lexington KY,United States,LEX
Evansville Regional Airport,Evansville,United States,EVV
Albuquerque International Sunport,Albuquerque,United States,ABQ
Gallatin Field,Bozeman,United States,BZN
Billings Logan International Airport,Billings,United States,BIL
Bert Mooney Airport,Butte,United States,BTM
Cherry Capital Airport,Traverse City,United States,TVC
Hancock County-Bar Harbor Airport,Bar Harbor,United States,BHB
Knox County Regional Airport,Rockland,United States,RKD
Jackson Hole Airport,Jacksn Hole,United States,JAC
Chicago Rockford International Airport,Rockford,United States,RFD
Greenville Spartanburg International Airport,Greenville,United States,GSP
Central Illinois Regional Airport at Bloomington-Normal,Bloomington,United States,BMI
Gulfport Biloxi International Airport,Gulfport,United States,GPT
Kalamazoo Battle Creek International Airport,Kalamazoo,United States,AZO
Toledo Express Airport,Toledo,United States,TOL
Fort Wayne International Airport,Fort Wayne,United States,FWA
Decatur Airport,Decatur,United States,DEC
The Eastern Iowa Airport,Cedar Rapids,United States,CID
La Crosse Municipal Airport,La Crosse,United States,LSE
Central Wisconsin Airport,Wassau,United States,CWA
General Wayne A. Downing Peoria International Airport,Peoria,United States,PIA
Appleton International Airport,Appleton,United States,ATW
Rochester International Airport,Rochester,United States,RST
University of Illinois Willard Airport,Champaign,United States,CMI
Manhattan Regional Airport,Manhattan,United States,MHK
Venango Regional Airport,Franklin,United States,FKL
Grand Junction Regional Airport,Grand Junction,United States,GJT
St George Municipal Airport,Saint George,United States,SGU
David Wayne Hooks Memorial Airport,Houston,United States,DWH
Port O'Connor Private Heliport,Port O\'Connor,United States,\N
Sarasota Bradenton International Airport,Sarasota,United States,SRQ
Van Nuys Airport,Van Nuys,United States,VNY
Quad City International Airport,Moline,United States,MLI
Panama City-Bay Co International Airport,Panama City,United States,PFN
Bismarck Municipal Airport,Bismarck,United States,BIS
Telluride Regional Airport,Telluride,United States,TEX
Rapid City Regional Airport,Rapid City,United States,RAP
Mc Clellan-Palomar Airport,Carlsbad,United States,CLD
Bishop International Airport,Flint,United States,FNT
Redding Municipal Airport,Redding,United States,RDD
Mahlon Sweet Field,Eugene,United States,EUG
Idaho Falls Regional Airport,Idaho Falls,United States,IDA
Rogue Valley International Medford Airport,Medford,United States,MFR
Roberts Field,Redmond-Bend,United States,RDM
Akron Canton Regional Airport,Akron,United States,CAK
Huntsville International Carl T Jones Field,Huntsville,United States,HSV
Mid Ohio Valley Regional Airport,PARKERSBURG,United States,PKB
Montgomery Regional (Dannelly Field) Airport,MONTGOMERY,United States,MGM
Tri-Cities Regional TN/VA Airport,BRISTOL,United States,TRI
Barkley Regional Airport,PADUCAH,United States,PAH
Page Municipal Airport,Page,United States,PGA
Glacier Park International Airport,Kalispell,United States,FCA
